state,county,state_code,county_code,date,aqi,category,defining_parameter,defining_site,num_sites
Texas,Denton,48,121,3/27/18,38,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,3/28/18,19,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,3/29/18,44,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,3/30/18,39,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,3/31/18,51,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/1/18,36,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/2/18,20,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/3/18,38,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/4/18,43,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/5/18,45,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,4/6/18,33,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/7/18,32,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/8/18,44,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/9/18,44,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/10/18,55,Moderate,PM2.5,48-121-0034,2
Texas,Denton,48,121,4/11/18,74,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/12/18,46,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/13/18,45,Good,PM2.5,48-121-0034,2
Texas,Denton,48,121,4/14/18,45,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/15/18,46,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/16/18,80,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/17/18,61,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/18/18,48,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/19/18,50,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/20/18,47,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,4/21/18,34,Good,PM2.5,48-121-0034,2
Texas,Denton,48,121,4/22/18,46,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/23/18,47,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,4/24/18,90,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/25/18,30,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,4/26/18,45,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,4/27/18,54,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/28/18,101,Unhealthy for Sensitive Groups,Ozone,48-121-0034,2
Texas,Denton,48,121,4/29/18,77,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,4/30/18,58,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,5/1/18,40,Good,Ozone,48-121-1032,2
Texas,Denton,48,121,5/2/18,41,Good,PM2.5,48-121-0034,2
Texas,Denton,48,121,5/3/18,43,Good,PM2.5,48-121-0034,2
Texas,Denton,48,121,5/4/18,35,Good,Ozone,48-121-0034,2
Texas,Denton,48,121,5/5/18,64,Moderate,Ozone,48-121-1032,2
Texas,Denton,48,121,5/6/18,80,Moderate,Ozone,48-121-1032,2
