state,county,state_code,county_code,date,aqi,category,defining_parameter,defining_site,num_sites
Texas,Dallas,48,113,3/23/18,44,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/24/18,51,Moderate,Ozone,48-113-0087,5
Texas,Dallas,48,113,3/25/18,63,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/26/18,52,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/27/18,38,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,3/28/18,34,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/29/18,44,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/30/18,43,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,3/31/18,50,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,4/1/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/2/18,48,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,4/3/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/4/18,44,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/5/18,44,Good,Ozone,48-113-0087,5
Texas,Dallas,48,113,4/6/18,39,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/7/18,37,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/8/18,40,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,4/9/18,47,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/10/18,68,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/11/18,71,Moderate,Ozone,48-113-0075,5
Texas,Dallas,48,113,4/12/18,46,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,4/13/18,56,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/14/18,54,Moderate,PM10,48-113-0061,6
Texas,Dallas,48,113,4/15/18,50,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/16/18,80,Moderate,Ozone,48-113-0075,4
Texas,Dallas,48,113,4/17/18,54,Moderate,Ozone,48-113-0087,5
Texas,Dallas,48,113,4/18/18,54,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/19/18,58,Moderate,Ozone,48-113-0069,4
Texas,Dallas,48,113,4/20/18,49,Good,Ozone,48-113-0075,6
Texas,Dallas,48,113,4/21/18,48,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/22/18,48,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/23/18,54,Moderate,Ozone,48-113-0087,5
Texas,Dallas,48,113,4/24/18,136,Unhealthy for Sensitive Groups,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/25/18,37,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/26/18,49,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,4/27/18,87,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/28/18,136,Unhealthy for Sensitive Groups,Ozone,48-113-0075,4
Texas,Dallas,48,113,4/29/18,71,Moderate,Ozone,48-113-0087,5
Texas,Dallas,48,113,4/30/18,67,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,5/1/18,50,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/2/18,52,Moderate,PM2.5,48-113-0069,6
Texas,Dallas,48,113,5/3/18,46,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,5/4/18,38,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/5/18,71,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,5/6/18,136,Unhealthy for Sensitive Groups,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/7/18,119,Unhealthy for Sensitive Groups,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/8/18,93,Moderate,Ozone,48-113-0075,6
Texas,Dallas,48,113,5/9/18,67,Moderate,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/10/18,64,Moderate,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/11/18,45,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,5/12/18,48,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/13/18,51,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/14/18,48,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,5/15/18,43,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/16/18,90,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,5/17/18,97,Moderate,Ozone,48-113-0069,5
Texas,Dallas,48,113,5/18/18,61,Moderate,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/19/18,52,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,5/20/18,34,Good,Ozone,48-113-0075,6
Texas,Dallas,48,113,5/21/18,71,Moderate,Ozone,48-113-0075,5
Texas,Dallas,48,113,5/22/18,37,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/23/18,43,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/24/18,45,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/25/18,54,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,5/26/18,143,Unhealthy for Sensitive Groups,Ozone,48-113-0075,5
Texas,Dallas,48,113,5/27/18,61,Moderate,Ozone,48-113-0069,4
Texas,Dallas,48,113,5/28/18,51,Moderate,Ozone,48-113-0069,4
Texas,Dallas,48,113,5/29/18,77,Moderate,Ozone,48-113-0075,5
Texas,Dallas,48,113,5/30/18,40,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,5/31/18,39,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/1/18,55,Moderate,PM2.5,48-113-0050,6
Texas,Dallas,48,113,6/2/18,59,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/3/18,51,Moderate,Ozone,48-113-0087,4
Texas,Dallas,48,113,6/4/18,46,Good,Ozone,48-113-0087,5
Texas,Dallas,48,113,6/5/18,55,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/6/18,46,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/7/18,58,Moderate,PM2.5,48-113-0069,6
Texas,Dallas,48,113,6/8/18,43,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/9/18,45,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/10/18,74,Moderate,PM2.5,48-113-0069,5
Texas,Dallas,48,113,6/11/18,63,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/12/18,55,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/13/18,43,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,6/14/18,35,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/15/18,33,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/16/18,47,Good,PM2.5,48-113-0050,5
Texas,Dallas,48,113,6/17/18,44,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/18/18,32,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/19/18,54,Moderate,PM2.5,48-113-0069,6
Texas,Dallas,48,113,6/20/18,38,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/21/18,150,Unhealthy for Sensitive Groups,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/22/18,93,Moderate,Ozone,48-113-0075,5
Texas,Dallas,48,113,6/23/18,54,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/24/18,48,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/25/18,36,Good,Ozone,48-113-0075,6
Texas,Dallas,48,113,6/26/18,50,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/27/18,41,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,6/28/18,39,Good,Ozone,48-113-0075,5
Texas,Dallas,48,113,6/29/18,65,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,6/30/18,125,Unhealthy for Sensitive Groups,PM2.5,48-113-0069,4
Texas,Dallas,48,113,7/1/18,1,Good,CO,48-113-0069,1
